XODR Coordinates for (s, t) Coordinates on R1
====================================================================================================

         s |          t |          XODR X |          XODR Y |          XODR Z |            RD X |            RD Y |            RD Z
    3459.0 |      0.000 |      178.369141 |       30.960087 |        5.786000 |      180.201370 |       26.123240 |        5.786000
    3460.0 |      0.000 |      177.742833 |       31.759335 |        5.786000 |      179.586603 |       26.911957 |        5.786000
    3461.0 |      0.000 |      177.116810 |       32.558778 |        5.786000 |      178.972118 |       27.700868 |        5.786000
    3462.0 |      0.000 |      176.491168 |       33.358485 |        5.786000 |      178.358007 |       28.490040 |        5.786000
    3463.0 |      0.000 |      175.865918 |       34.158628 |        5.786000 |      177.744283 |       29.279643 |        5.786000
    3464.0 |      0.000 |      175.241249 |       34.959154 |        5.786000 |      177.131132 |       30.069625 |        5.786000
    3465.0 |      0.000 |      174.617260 |       35.760125 |        5.786000 |      176.518650 |       30.860047 |        5.786000
    3466.0 |      0.000 |      173.994050 |       36.561603 |        5.786000 |      175.906936 |       31.650972 |        5.786000
    3467.0 |      0.000 |      173.371533 |       37.363889 |        5.786000 |      175.295905 |       32.442694 |        5.786000
    3468.0 |      0.000 |      172.749974 |       38.166830 |        5.786000 |      174.685818 |       33.235065 |        5.786000
