================================================================================
RESULTS SUMMARY
================================================================================

XODR coordinates for (s, t) coordinates on R1:

----------------------------------------------------------------------------------------------------
         s |          t |          XODR X |          XODR Y |          XODR Z |            RD X |            RD Y |            RD Z
     571.0 |      0.000 |     -150.228414 |     -265.670852 |       11.645693 |     -143.649135 |     -267.213816 |       11.645693
     572.0 |      0.000 |     -150.621376 |     -266.603563 |       11.638470 |     -144.037478 |     -268.135469 |       11.638470
     573.0 |      0.000 |     -151.011591 |     -267.537437 |       11.630644 |     -144.423118 |     -269.058267 |       11.630644
     574.0 |      0.000 |     -151.398973 |     -268.472388 |       11.622215 |     -144.805973 |     -269.982127 |       11.622215
     575.0 |      0.000 |     -151.783470 |     -269.408408 |       11.613182 |     -145.185991 |     -270.907039 |       11.613182
     576.0 |      0.000 |     -152.165029 |     -270.345489 |       11.603545 |     -145.563122 |     -271.832996 |       11.603545
     577.0 |      0.000 |     -152.543600 |     -271.283624 |       11.593305 |     -145.937313 |     -272.759989 |       11.593305
     578.0 |      0.000 |     -152.919357 |     -272.223375 |       11.582461 |     -146.308739 |     -273.688577 |       11.582461
     579.0 |      0.000 |     -153.292139 |     -273.164474 |       11.571014 |     -146.677241 |     -274.618492 |       11.571014
     580.0 |      0.000 |     -153.661770 |     -274.106605 |       11.558963 |     -147.042644 |     -275.549424 |       11.558963
     581.0 |      0.000 |     -154.028198 |     -275.049759 |       11.546309 |     -147.404898 |     -276.481362 |       11.546309
     582.0 |      0.000 |     -154.391371 |     -275.993929 |       11.533051 |     -147.763951 |     -277.414301 |       11.533051
     583.0 |      0.000 |     -154.751237 |     -276.939107 |       11.519190 |     -148.119751 |     -278.348231 |       11.519190
     584.0 |      0.000 |     -155.108060 |     -277.886129 |       11.504725 |     -148.472561 |     -279.283978 |       11.504725
     585.0 |      0.000 |     -155.461677 |     -278.834715 |       11.489657 |     -148.822220 |     -280.221269 |       11.489657
     586.0 |      0.000 |     -155.811819 |     -279.784289 |       11.474230 |     -149.168462 |     -281.159530 |       11.474230
     587.0 |      0.000 |     -156.158436 |     -280.734843 |       11.458799 |     -149.511236 |     -282.098754 |       11.458799
     588.0 |      0.000 |     -156.501473 |     -281.686367 |       11.443369 |     -149.850491 |     -283.038934 |       11.443369
     589.0 |      0.000 |     -156.840880 |     -282.638854 |       11.427938 |     -150.186175 |     -283.980062 |       11.427938
     590.0 |      0.000 |     -157.176963 |     -283.593325 |       11.412508 |     -150.518592 |     -284.923144 |       11.412508
     591.0 |      0.000 |     -157.509589 |     -284.549577 |       11.397077 |     -150.847612 |     -285.867982 |       11.397077
     592.0 |      0.000 |     -157.838412 |     -285.506773 |       11.381647 |     -151.172892 |     -286.813748 |       11.381647
     593.0 |      0.000 |     -158.163380 |     -286.464903 |       11.366217 |     -151.494379 |     -287.760432 |       11.366217
