s_m,x_m,y_m,heading_rad
778.415044,171.335986,-643.061142,-1.836363106172
780.399063,170.814766,-644.975471,-1.836884175245
782.383106,170.292562,-646.889559,-1.837383642844
784.367175,169.769417,-648.803416,-1.837861510417
786.351268,169.245371,-650.717052,-1.838317779395
788.335385,168.720466,-652.630477,-1.838752451191
790.319525,168.194745,-654.543701,-1.839165527191
792.303686,167.668248,-656.456735,-1.839557008745
794.287868,167.141017,-658.369588,-1.839926897169
796.272070,166.613094,-660.282271,-1.840275193731
798.256292,166.084521,-662.194793,-1.840601899653
800.240530,165.555339,-664.107166,-1.840907016099
802.224786,165.025589,-666.019400,-1.841190544177
804.209057,164.495314,-667.931503,-1.841452484931
806.193343,163.964555,-669.843487,-1.841692839339
808.177641,163.433353,-671.755362,-1.841911608307
810.161952,162.901751,-673.667138,-1.842108792668
812.146273,162.369789,-675.578825,-1.842284393177
814.130604,161.837510,-677.490434,-1.842438410511
816.114942,161.304955,-679.401973,-1.842570845263
818.099287,160.772165,-681.313455,-1.842681697943
820.083637,160.239183,-683.224888,-1.842770968974
822.067992,159.706050,-685.136283,-1.842838658691
824.052348,159.172807,-687.047650,-1.842884767340
826.036706,158.639497,-688.958999,-1.842909295078
828.021064,158.106160,-690.870341,-1.842912241972
830.005420,157.572839,-692.781685,-1.842893607995
831.989773,157.039575,-694.693042,-1.842853393033
833.974121,156.506409,-696.604422,-1.842791596877
835.958464,155.973384,-698.515835,-1.842708219233
837.942799,155.440541,-700.427292,-1.842603259712
839.927126,154.907921,-702.338801,-1.842476717842
841.911443,154.375567,-704.250375,-1.842328593061
843.895749,153.843519,-706.162022,-1.842158884724
845.880042,153.311820,-708.073753,-1.841967592102
847.864322,152.780511,-709.985578,-1.841754714385
849.848586,152.249633,-711.897507,-1.841520250688
851.832834,151.719229,-713.809551,-1.841264200047
853.817064,151.189340,-715.721719,-1.840986561431
855.801276,150.660007,-717.634023,-1.840687333738
857.785468,150.131272,-719.546471,-1.840366515801
859.769639,149.603178,-721.459074,-1.840024106397
861.753788,149.075764,-723.371842,-1.839660104244
863.737915,148.549074,-725.284786,-1.839274508010
865.722017,148.023148,-727.197915,-1.838867316319
867.706094,147.498029,-729.111240,-1.838438527753
869.690146,146.973757,-731.024771,-1.837988140860
871.674172,146.450375,-732.938519,-1.837516154160
873.658170,145.927924,-734.852492,-1.837022566149
875.642140,145.406446,-736.766702,-1.836507375310
877.626082,144.885982,-738.681158,-1.835970580116
879.609995,144.366575,-740.595871,-1.835412179038
881.593879,143.848265,-742.510851,-1.834832170552
883.577732,143.331094,-744.426108,-1.834230553151
885.561556,142.815104,-746.341652,-1.833607325347
887.545349,142.300336,-748.257494,-1.832962485683
889.529111,141.786833,-750.173643,-1.832296032742
891.512843,141.274636,-752.090110,-1.831607965155
893.461348,140.796626,-753.979072,-1.805761208483
895.426599,140.363736,-755.896054,-1.780069192425
897.406473,139.977310,-757.837851,-1.754429094229
899.398868,139.638691,-759.801260,-1.728742220218
901.401714,139.349221,-761.783077,-1.702913077497
903.412983,139.110245,-763.780099,-1.676848562449
905.430701,138.923106,-765.789120,-1.650457259874
907.452961,138.789146,-767.806937,-1.623648850381
909.477929,138.709709,-769.830347,-1.596333627661
911.503864,138.686138,-771.856145,-1.568422131647
913.529126,138.719776,-773.881127,-1.539824908382
