s_m,x_m,y_m,heading_rad
121.472402,105.318751,145.959735,3.631161434852
123.205711,103.828796,145.074073,3.722550792707
124.977151,102.389453,144.041461,3.803182163702
126.793084,100.997868,142.874795,3.873439215959
128.656423,99.651190,141.586973,3.934081202446
130.567206,98.346565,140.190889,3.986021082466
132.523150,97.081143,138.699440,4.030181872238
134.520107,95.852069,137.125522,4.067415745630
136.552462,94.656492,135.482031,4.098465232234
138.613443,93.491560,133.781863,4.123949251061
140.695376,92.354420,132.037914,4.144361980238
142.789899,91.242219,130.263080,4.160077012526
144.888127,90.152105,128.470257,4.171352296023
146.980800,89.081227,126.672341,4.178333195810
149.058411,88.026731,124.882229,4.181051978767
151.111319,86.985765,123.112815,4.179422407747
153.129873,85.955477,121.376997,4.173228125401
155.104526,84.933014,119.687671,4.162103232672
157.025980,83.915525,118.057731,4.145503017075
158.885352,82.900155,116.500076,4.122662309734
160.873532,81.793513,114.848350,-2.161668617064
162.861682,80.685009,113.197908,-2.162798469421
164.849805,79.574668,111.548732,-2.163912550313
166.837906,78.462516,109.900806,-2.165010855789
168.825985,77.348580,108.254110,-2.166093382148
170.814047,76.232885,106.608627,-2.167160125928
172.802093,75.115457,104.964340,-2.168211083898
174.790126,73.996323,103.321229,-2.169246253050
176.778147,72.875507,101.679279,-2.170265630593
178.766161,71.753035,100.038470,-2.171269213943
180.754167,70.628934,98.398784,-2.172257000716
182.742170,69.503230,96.760205,-2.173228988722
184.730169,68.375947,95.122714,-2.174185175955
186.718168,67.247113,93.486293,-2.175125560588
188.706168,66.116753,91.850925,-2.176050140967
190.694171,64.984892,90.216591,-2.176958915599
192.682178,63.851558,88.583274,-2.177851883149
194.670191,62.716775,86.950956,-2.178729042434
196.658210,61.580569,85.319619,-2.179590392414
198.646239,60.442966,83.689246,-2.180435932184
200.634277,59.303993,82.059818,-2.181265660972
202.622326,58.163675,80.431317,-2.182079578130
204.610388,57.022037,78.803727,-2.182877683128
206.598462,55.879107,77.177028,-2.183659975548
208.586550,54.734908,75.551203,-2.184426455076
210.574653,53.589469,73.926235,-2.185177121502
212.562772,52.442813,72.302105,-2.185911974708
214.550907,51.294968,70.678796,-2.186631014664
216.539060,50.145959,69.056289,-2.187334241426
218.527230,48.995812,67.434568,-2.188021655125
220.515418,47.844552,65.813613,-2.188693255966
222.503625,46.692207,64.193408,-2.189349044222
224.491850,45.538800,62.573934,-2.189989020227
226.480096,44.384359,60.955173,-2.190613184374
228.468360,43.228909,59.337109,-2.191221537107
230.456645,42.072477,57.719722,-2.191814078919
232.444950,40.915087,56.102996,-2.192390810347
234.433275,39.756766,54.486911,-2.192951731964
236.421620,38.597540,52.871451,-2.193496844383
238.409986,37.437434,51.256598,-2.194026148241
240.398371,36.276475,49.642333,-2.194539644207
242.386777,35.114687,48.028639,-2.195037332970
244.375202,33.952098,46.415498,-2.195519215236
246.363648,32.788733,44.802893,-2.195985291728
248.352113,31.624618,43.190805,-2.196435563180
250.340597,30.459779,41.579216,-2.196870030334
252.329100,29.294241,39.968109,-2.197288693933
254.317621,28.128030,38.357466,-2.197691554726
256.306161,26.961173,36.747269,-2.198078613458
258.294719,25.793695,35.137500,-2.198449870866
260.283294,24.625622,33.528141,-2.198805327684
262.271885,23.456980,31.919175,-2.199144984632
264.260493,22.287795,30.310584,-2.199468842417
266.249116,21.118092,28.702349,-2.199776901731
268.237755,19.947898,27.094453,-2.200069163247
270.226408,18.777238,25.486879,-2.200345627618
272.215074,17.606138,23.879608,-2.200606295472
274.203754,16.434624,22.272622,-2.200851167415
276.192446,15.262722,20.665904,-2.201080244025
278.181150,14.090458,19.059436,-2.201293525850
280.169865,12.917858,17.453200,-2.201491013410
282.158590,11.744947,15.847178,-2.201672707191
284.147324,10.571751,14.241352,-2.201838607645
286.136067,9.398297,12.635705,-2.201988715193
288.124817,8.224610,11.030218,-2.202123030214
290.113575,7.050715,9.424875,-2.202241553056
292.102339,5.876640,7.819656,-2.202344284025
294.091107,4.702409,6.214544,-2.202431223387
296.079881,3.528049,4.609522,-2.202502371373
298.068657,2.353585,3.004571,-2.202557728168
300.057437,1.179044,1.399673,-2.202597293919
302.046218,0.004450,-0.205188,-2.202621068731
304.035000,-1.170169,-1.810032,-2.202629052668
306.023782,-2.344789,-3.414876,-2.202621245750
308.012563,-3.519383,-5.019737,-2.202597647958
310.001343,-4.693925,-6.624634,-2.202558259227
311.990120,-5.868390,-8.229584,-2.202503079455
313.978893,-7.042751,-9.834606,-2.202432108495
315.967662,-8.216984,-11.439717,-2.202345346160
317.956426,-9.391061,-13.044934,-2.202242792223
319.945183,-10.564958,-14.650277,-2.202124446417
321.933934,-11.738647,-16.255762,-2.201990308435
323.922677,-12.912104,-17.861407,-2.201840377933
325.911411,-14.085303,-19.467231,-2.201674654529
327.900137,-15.258217,-21.073250,-2.201493137805
329.888851,-16.430821,-22.679484,-2.201295827309
331.877555,-17.603089,-24.285950,-2.201082722555
333.866248,-18.774995,-25.892665,-2.200853823024
335.854928,-19.946514,-27.499647,-2.200609128167
337.843595,-21.117618,-29.106915,-2.200348637407
339.832248,-22.288283,-30.714486,-2.200072350141
341.820887,-23.458483,-32.322378,-2.199780265738
343.809510,-24.628192,-33.930609,-2.199472383547
345.798118,-25.797383,-35.539196,-2.199148702895
347.786710,-26.966032,-37.148158,-2.198809223091
