s_m,x_m,y_m
833.9852520598687,-165.90145224300414,-487.29204545749275
835.9846788100823,-165.79426899101122,-489.2885972549581
837.9838618732732,-165.6886685540182,-491.28498936770956
839.9827920366281,-165.58476532009018,-493.2812172895535
841.9490746197868,-165.48172731933636,-495.2447982955815
843.9419841529541,-165.36962082262542,-497.2345521850826
845.9610375233934,-165.24317057899302,-499.2496419718086
848.0007908523967,-165.0973821277395,-501.284178619466
850.0559385752553,-164.92726100816526,-503.33227309176107
852.1213543173423,-164.72781275957064,-505.3880363524001
854.1921347466425,-164.494042921256,-507.44557936508954
856.2636477154037,-164.2209570325217,-509.4990130935357
858.331585998075,-163.9035606326681,-511.542448501445
860.3920279398485,-163.53685926099558,-513.5699965525237
862.4415063176274,-163.1158584568045,-515.5757682104781
864.4770866397307,-162.63556375939518,-517.5538744390146
866.4964559120776,-162.09098070806803,-519.4984262018397
868.4980224952359,-161.47711484212343,-521.4035344626595
870.4810269634468,-160.78897170086168,-523.2633101851806
872.4456627311804,-160.02155682358318,-525.0718643331091
874.3932035177234,-159.16987574958827,-526.8233078701514
876.3261324122058,-158.22893401817737,-528.5117517600141
878.2482644534069,-157.19373716865078,-530.1313069664034
880.1648515716857,-156.05929074030888,-531.6760844530255
882.082656125467,-154.82060027245205,-533.1401951835868
884.0099781304119,-153.47267130438058,-534.5177501217938
885.907129502382,-152.04872210129204,-535.7713656909343
887.7670737329903,-150.56624393376097,-536.8945980906482
889.6427224715434,-148.99639017217558,-537.9210567394363
891.5375099035665,-147.34586438526432,-538.8516393737541
893.45378625007,-145.62137014175548,-539.6872437300577
895.3929248095108,-143.82961101037753,-540.4287675448024
897.3554326734933,-141.97729055985883,-541.0771085544444
899.3410594116342,-140.0711123589278,-541.6331644954389
901.3489001206995,-138.11777997631276,-542.097833104242
903.3774909042845,-136.12399698074222,-542.4720121173092
905.4248960694589,-134.09646694094445,-542.7565992710962
907.4887871541185,-132.04189342564794,-542.9524923020588
909.5665144205435,-129.966980003581,-543.0605889466526
911.6551717537194,-127.8784302434721,-543.0817869413336
913.7516560606955,-125.78294771404958,-543.0169840225572
915.8527223359099,-123.68723598404185,-542.8670779267793
917.9550355774728,-121.5979986221773,-542.6329663904555
920.0552207384258,-119.52193919718432,-542.3155471500417
922.1499118927031,-117.46576127779133,-541.9157179419932
924.2358017982002,-115.43616843272667,-541.4343765027662
926.3096930534632,-113.43986423071877,-540.872420568816
928.3685520692841,-111.48355224049601,-540.2307478765987
930.4095671055758,-109.57393603078677,-539.5102561625697
932.4302116440015,-107.71771917031947,-538.7118431631849
934.4283143552016,-105.92160522782248,-537.8364066148999
936.4021368403903,-104.19229777202419,-536.8848442541705
938.3504601277356,-102.53650037165302,-535.8580538174523
940.2726805104612,-100.96091659543734,-534.7569330412011
942.1689146302947,-99.47225001210555,-533.5823796618727
944.0401126256666,-98.07720419038606,-532.3352914159227
945.9325228421126,-96.75175547227916,-530.984587109652
947.8782406190978,-95.48193132967434,-529.5103536428855
949.8490373573961,-94.29066714586361,-527.9403442709208
951.8422685217648,-93.18182176852102,-526.2840132642206
953.854635620899,-92.15925404532058,-524.5508148932468
955.8823509928698,-91.22682282393637,-522.7502034284619
957.9212865551697,-90.38838695204241,-520.8916331403284
959.9671105129423,-89.64780527731274,-518.9845582993084
962.0154161840661,-89.00893664742142,-517.0384331758647
964.0618470807707,-88.47563991004247,-515.0627120404592
966.1022222930742,-88.05177391284994,-513.0668491635545
968.1326660881243,-87.74119750351787,-511.060298815613
970.1497454516445,-87.5477695297203,-509.05251526709696
972.1506189764739,-87.47534883913127,-507.05295278846876
974.1331999087637,-87.52779427942481,-505.07106565019086
976.096335082879,-87.70896469827498,-503.11630812272546
978.0399996278162,-88.02271894335583,-501.198134476535
979.9676218009209,-88.47344832116968,-499.3239492481703
981.9674654734772,-89.02808331862899,-497.4025552921434
983.9674893834881,-89.61105995934837,-495.48938152141824
985.9676047607728,-90.21770480091661,-493.58348447313637
987.9675704965982,-90.84496734921674,-491.6844308562061
988.0194443997946,-90.85999999999986,-491.63478288300223
990.0027029200443,-91.47373571486685,-489.7488765145842
991.9825104212423,-92.20847147439783,-487.910452976477
993.966195918007,-93.04893895549449,-486.1136161549226
995.9582471990676,-93.97986983505841,-484.35246993616346
997.9607127416423,-94.9859957899911,-482.62111820644196
999.9736373135346,-96.0520484971941,-480.9136648520006
1001.9954988873897,-97.16275963356898,-479.22421375908186
1004.0236302707237,-98.30286087601726,-477.54686881392814
1006.0546208378286,-99.45708390144053,-475.875733902782
1008.0847016649313,-100.61016038674028,-474.2049129118858
1010.1101219373153,-101.74682200881807,-472.528509727482
1012.1275265257425,-102.85180044457546,-470.8406282358131
1014.1343445804317,-103.909827370914,-469.13537232312154
1016.1291968174944,-104.90563446473523,-467.4068458756498
1018.1123243202097,-105.82395340294067,-465.64915277964036
1020.0860332506265,-106.6495158624319,-463.8563969213356
1022.0551371120789,-107.36705352011045,-462.02268218697805
1024.0273615040235,-107.96129805287788,-460.1421124628101
1025.2447234506676,-108.25850184688694,-458.96158715009375
1027.2346906636633,-107.78700958898494,-460.8948912026257
1029.2406407579972,-107.25718174336177,-462.8296051956905
1031.2603450603308,-106.6820304509611,-464.7656853747415
