t,segment_id,segment_name
147.15,44,straight
147.2,44,straight
147.25,44,straight
147.3,44,straight
147.35,44,straight
147.4,44,straight
147.45,44,straight
147.5,44,straight
147.55,44,straight
147.6,44,straight
147.65,44,straight
147.7,44,straight
147.75,44,straight
147.8,44,straight
147.85,44,straight
147.9,44,straight
147.95,44,straight
148.0,44,straight
148.05,44,straight
148.1,44,straight
148.15,44,straight
148.2,44,straight
148.25,44,straight
148.3,44,straight
148.35,44,straight
148.4,44,straight
